iter	MultiClass
0	3.757508712
1	3.710881511
2	3.664397
3	3.626932712
4	3.590591505
5	3.556167356
6	3.524949085
7	3.496114765
8	3.466724373
9	3.439184812
10	3.414132399
11	3.388857911
12	3.365573653
13	3.342580953
14	3.321362174
15	3.300391656
16	3.278319082
17	3.256943752
18	3.240233989
19	3.223712045
20	3.203223989
21	3.184410861
22	3.168924708
23	3.153000782
24	3.134865636
25	3.119824132
26	3.105429549
27	3.09014694
28	3.075408185
29	3.060845941
30	3.046387129
31	3.031308459
32	3.019450215
33	3.008694837
34	2.99384959
35	2.980673672
36	2.96788682
37	2.957240136
38	2.94945934
39	2.936833889
40	2.924253728
41	2.911126667
42	2.901519082
43	2.889853535
44	2.876323346
45	2.866443748
46	2.858353
47	2.84732769
48	2.834749033
49	2.821793203
50	2.812966476
51	2.801439796
52	2.794342656
53	2.787003681
54	2.774977349
55	2.764642305
56	2.752768352
57	2.745145073
58	2.736195359
59	2.727001737
60	2.718494311
61	2.709768149
62	2.703188774
63	2.696617993
64	2.684024333
65	2.674361295
66	2.664201763
67	2.65569748
68	2.64677565
69	2.640548118
70	2.631439605
71	2.623203726
72	2.61711174
73	2.606542748
74	2.597288962
75	2.58945199
76	2.58488968
77	2.57700916
78	2.571748602
79	2.562429317
80	2.553849655
81	2.547928693
82	2.541352507
83	2.533914193
84	2.525379159
85	2.514986945
86	2.507427259
87	2.498490695
88	2.493119877
89	2.484325143
90	2.473288853
91	2.466853856
92	2.461832323
93	2.450163698
94	2.442815892
95	2.436577529
96	2.425730139
97	2.419205575
98	2.412759062
99	2.406243711
100	2.398602513
101	2.394699815
102	2.388999802
103	2.381204338
104	2.374266915
105	2.364118538
106	2.356220704
107	2.346671177
108	2.34012646
109	2.335637935
110	2.330579805
111	2.324963186
112	2.320155396
113	2.316364598
114	2.31091187
115	2.306855212
116	2.300922539
117	2.293888892
118	2.28770387
119	2.283774303
120	2.280438187
121	2.272629228
122	2.267682376
123	2.260583254
124	2.253033371
125	2.246920942
126	2.239827807
127	2.235915687
128	2.229607433
129	2.223145109
130	2.217585249
131	2.21444828
132	2.209693227
133	2.20705589
134	2.202740831
135	2.197669387
136	2.193547282
137	2.186698968
138	2.181459177
139	2.176828378
140	2.169186362
141	2.162950785
142	2.157602812
143	2.154154409
144	2.15123639
145	2.147865069
146	2.14040216
147	2.134845096
148	2.128699178
149	2.124503823
150	2.120374391
151	2.117333582
152	2.111556764
153	2.103364728
154	2.09826888
155	2.094242876
156	2.090071551
157	2.082332032
158	2.076759825
159	2.070642646
160	2.06631548
161	2.063689172
162	2.058014403
163	2.051856755
164	2.049220603
165	2.043383408
166	2.036842191
167	2.031678084
168	2.028429188
169	2.023373534
170	2.020300746
171	2.015716671
172	2.008813979
173	2.003713252
174	1.99875058
175	1.99370249
176	1.988076984
177	1.984737059
178	1.981926324
179	1.976883023
180	1.973002108
181	1.967870683
182	1.964703609
183	1.959718251
184	1.957789275
185	1.953712502
186	1.950055677
187	1.946826378
188	1.941045719
189	1.937025094
190	1.93357382
191	1.927242253
192	1.922026611
193	1.916085483
194	1.911944831
195	1.908611821
196	1.905247124
197	1.901624024
198	1.89823648
199	1.894169747
200	1.890673842
201	1.886130388
202	1.88096694
203	1.877606636
204	1.871141809
205	1.868126459
206	1.863271567
207	1.857673133
208	1.854694682
209	1.851625703
210	1.846295234
211	1.840288308
212	1.836788151
213	1.831459367
214	1.826979675
215	1.823852696
216	1.819285294
217	1.814250071
218	1.809447077
219	1.8069201
220	1.801236674
221	1.798850302
222	1.7949659
223	1.791373501
224	1.786282003
225	1.781310142
226	1.779619042
227	1.776082576
228	1.773112378
229	1.769795737
230	1.765615056
231	1.762879018
232	1.758157903
233	1.754436685
234	1.751458856
235	1.746471223
236	1.740396858
237	1.735397756
238	1.732190689
239	1.727627944
240	1.724351774
241	1.7223585
242	1.718816017
243	1.713548099
244	1.708992658
245	1.704745317
246	1.702671039
247	1.698770164
248	1.695612306
249	1.692432573
250	1.688352726
251	1.684002926
252	1.680197317
253	1.676604124
254	1.673567079
255	1.667922747
256	1.662889685
257	1.657848514
258	1.654422926
259	1.651310374
260	1.64518431
261	1.6384318
262	1.633234361
263	1.629908272
264	1.625453182
265	1.62161548
266	1.618534131
267	1.615658479
268	1.612289292
269	1.607254582
270	1.603613224
271	1.599494318
272	1.59403577
273	1.59005882
274	1.587062007
275	1.584689703
276	1.580516873
277	1.574937497
278	1.570649056
279	1.567605703
280	1.56565024
281	1.562261159
282	1.558486148
283	1.553135355
284	1.550151035
285	1.547359846
286	1.544370437
287	1.539244505
288	1.536027682
289	1.532121152
290	1.529095718
291	1.524505959
292	1.519728064
293	1.516441923
294	1.511488567
295	1.507579268
296	1.505975996
297	1.502263499
298	1.499586852
299	1.49527566
300	1.490740696
301	1.486149996
302	1.483253348
303	1.480888106
304	1.476618238
305	1.472806826
306	1.469997833
307	1.466217436
308	1.46277497
309	1.459668576
310	1.455409525
311	1.452692037
312	1.448471594
313	1.445253742
314	1.442689669
315	1.439387039
316	1.435676568
317	1.433517415
318	1.429498663
319	1.427872101
320	1.425208637
321	1.422321954
322	1.418873373
323	1.415576409
324	1.411299271
325	1.404592234
326	1.3996264
327	1.396801639
328	1.393932337
329	1.390844954
330	1.386644142
331	1.381338932
332	1.376951252
333	1.375247137
334	1.372394614
335	1.368665276
336	1.366243333
337	1.363175876
338	1.359366271
339	1.355474599
340	1.353783844
341	1.351872066
342	1.349475701
343	1.344892116
344	1.343370886
345	1.339779355
346	1.336905845
347	1.331375936
348	1.330810865
349	1.326673441
350	1.32337972
351	1.32059911
