iter	Passed	Remaining
0	173	86539
1	342	85345
2	515	85410
3	690	85625
4	859	85068
5	1028	84680
6	1198	84393
7	1412	86846
8	1587	86610
9	1754	85981
10	1924	85550
11	2093	85141
12	2264	84841
13	2467	85673
14	2658	85966
15	2867	86735
16	3036	86265
17	3206	85873
18	3394	85926
19	3620	86894
20	3790	86457
21	3959	86028
22	4131	85691
23	4301	85307
24	4475	85039
25	4650	84776
26	4819	84438
27	4989	84114
28	5156	83755
29	5326	83447
30	5518	83489
31	5694	83284
32	5864	82988
33	6032	82679
34	6202	82406
35	6372	82128
36	6577	82313
37	6752	82099
38	6923	81842
39	7097	81616
40	7266	81351
41	7435	81082
42	7631	81104
43	7801	80854
44	8024	81131
45	8208	81011
46	8403	80994
47	8601	81000
48	8860	81550
49	9041	81369
50	9211	81099
51	9382	80832
52	9554	80580
53	9752	80545
54	9924	80296
55	10096	80050
56	10269	79816
57	10448	79624
58	10620	79382
59	10796	79172
60	10969	78942
61	11139	78694
62	11310	78453
63	11487	78256
64	11698	78292
65	11874	78083
66	12041	77819
67	12210	77570
68	12380	77333
69	12551	77100
70	12725	76892
71	12894	76650
72	13064	76417
73	13234	76185
74	13435	76135
75	13632	76055
76	13877	76236
77	14048	76004
78	14220	75784
79	14390	75551
80	14563	75332
81	14738	75127
82	14907	74897
83	15078	74672
84	15246	74438
85	15414	74205
86	15583	73978
87	15759	73783
88	15949	73655
89	16120	73437
90	16290	73217
91	16460	72997
92	16647	72854
93	16820	72650
94	16989	72427
95	17158	72207
96	17335	72020
97	17504	71803
98	17674	71590
99	17849	71396
100	18053	71321
101	18222	71103
102	18395	70901
103	18564	70688
104	18751	70541
105	19020	70698
106	19256	70726
107	19452	70603
108	19621	70385
109	19795	70184
110	19968	69980
111	20159	69836
112	20328	69621
113	20499	69410
114	20670	69200
115	20844	69003
116	21015	68793
117	21182	68574
118	21352	68364
119	21522	68154
120	21720	68033
121	21901	67857
122	22080	67677
123	22267	67520
124	22442	67328
125	22617	67134
126	22796	66953
127	22964	66739
128	23131	66524
129	23299	66314
130	23468	66105
131	23638	65901
132	23819	65727
133	24016	65597
134	24209	65455
135	24398	65302
136	24585	65142
137	24771	64980
138	24961	64828
139	25129	64619
140	25299	64414
141	25468	64208
142	25638	64007
143	25813	63815
144	25982	63611
145	26150	63404
146	26339	63251
147	26510	63053
148	26711	62925
149	26887	62737
150	27059	62540
151	27229	62340
152	27399	62141
153	27570	61944
154	27738	61739
155	27913	61553
156	28113	61419
157	28288	61231
158	28479	61079
159	28646	60874
160	28817	60678
161	29035	60579
162	29211	60393
163	29468	60373
164	29649	60197
165	29825	60010
166	30035	59891
167	30221	59723
168	30454	59646
169	30626	59451
170	30796	59251
171	30972	59064
172	31142	58863
173	31313	58667
174	31488	58478
175	31658	58279
176	31852	58126
177	32029	57940
178	32200	57745
179	32372	57551
180	32565	57395
181	32739	57204
182	32914	57016
183	33086	56821
184	33257	56628
185	33430	56436
186	33601	56242
187	33771	56046
188	33949	55863
189	34154	55725
190	34326	55532
191	34514	55367
192	34690	55181
193	34859	54984
194	35033	54795
195	35201	54598
196	35403	54452
197	35589	54283
198	35778	54117
199	35967	53951
200	36135	53753
201	36307	53562
202	36479	53371
203	36667	53204
204	36870	53057
205	37044	52868
206	37212	52672
207	37382	52479
208	37551	52284
209	37722	52092
210	37891	51898
211	38077	51727
212	38246	51534
213	38418	51344
214	38595	51160
215	38779	50987
216	38952	50799
217	39136	50626
218	39328	50463
219	39514	50291
220	39762	50197
221	39936	50010
222	40114	49828
223	40286	49638
224	40459	49450
225	40638	49269
226	40834	49108
227	41039	48959
228	41236	48799
229	41416	48619
230	41585	48425
231	41755	48234
232	41951	48073
233	42125	47886
234	42294	47693
235	42465	47503
236	42634	47311
237	42823	47142
238	42998	46956
239	43166	46763
240	43334	46570
241	43503	46380
242	43673	46189
243	43842	45998
244	44019	45816
245	44202	45639
246	44421	45500
247	44590	45309
248	44762	45121
249	44950	44950
250	45126	44766
251	45294	44575
252	45463	44385
253	45634	44196
254	45803	44007
255	45972	43817
256	46149	43635
257	46350	43476
258	46535	43301
259	46715	43121
260	46961	43002
261	47139	42821
262	47308	42631
263	47480	42444
264	47649	42255
265	47820	42067
266	48005	41892
267	48180	41708
268	48353	41522
269	48524	41336
270	48694	41147
271	48864	40960
272	49060	40793
273	49229	40605
274	49464	40470
275	49634	40283
276	49834	40119
277	50093	40002
278	50263	39814
279	50437	39629
280	50609	39443
281	50781	39256
282	50955	39071
283	51152	38905
284	51321	38715
285	51491	38528
286	51660	38340
287	51868	38180
288	52085	38027
289	52286	37862
290	52461	37678
291	52631	37491
292	52801	37303
293	52972	37116
294	53171	36949
295	53341	36762
296	53511	36575
297	53681	36387
298	53851	36200
299	54021	36014
300	54197	35831
301	54369	35646
302	54595	35496
303	54766	35309
304	54934	35122
305	55106	34936
306	55299	34764
307	55470	34579
308	55639	34392
309	55810	34206
310	55980	34020
311	56154	33836
312	56325	33651
313	56496	33466
314	56665	33279
315	56835	33094
316	57005	32908
317	57207	32741
318	57437	32589
319	57625	32414
320	57827	32246
321	58002	32063
322	58187	31886
323	58360	31701
324	58531	31517
325	58719	31341
326	58921	31172
327	59090	30986
328	59265	30803
329	59463	30632
330	59670	30466
331	59842	30281
332	60015	30097
333	60257	29948
334	60546	29821
335	60717	29635
336	60888	29450
337	61059	29265
338	61236	29082
339	61405	28896
340	61598	28721
341	61767	28535
342	61936	28350
343	62115	28168
344	62310	27994
345	62481	27809
346	62651	27624
347	62857	27454
348	63041	27275
349	63231	27099
350	63409	26917
351	63602	26741
352	63773	26557
353	63943	26372
354	64113	26187
355	64291	26005
356	64464	25821
357	64646	25641
358	64855	25472
359	65027	25288
360	65197	25103
361	65373	24921
362	65544	24737
363	65737	24561
364	65906	24376
365	66075	24191
366	66247	24007
367	66421	23825
368	66591	23640
369	66761	23456
370	66931	23272
371	67101	23088
372	67335	22926
373	67504	22742
374	67682	22560
375	67865	22381
376	68051	22202
377	68222	22018
378	68429	21847
379	68619	21669
380	68815	21493
381	68986	21310
382	69155	21125
383	69332	20944
384	69503	20760
385	69675	20577
386	69906	20412
387	70075	20228
388	70252	20046
389	70452	19871
390	70703	19710
391	70882	19528
392	71052	19344
393	71221	19161
394	71395	18978
395	71566	18795
396	71735	18611
397	71928	18433
398	72097	18250
399	72266	18066
400	72520	17904
401	72691	17720
402	72861	17537
403	73033	17354
404	73203	17171
405	73378	16989
406	73546	16805
407	73716	16622
408	73916	16446
409	74126	16271
410	74319	16093
411	74492	15911
412	74663	15728
